internalField   nonuniform List<vector>
1280
(
(829899 -5.97823e+06 -203634)
(896022 -5.87895e+06 -172683)
(997517 -5.46746e+06 -202136)
(708942 -6.2765e+06 -388968)
(748595 -6.2052e+06 -320309)
(798654 -6.0952e+06 -247968)
(872015 -5.96195e+06 -192065)
(941984 -5.84713e+06 -166040)
(1.03115e+06 -5.40742e+06 -206049)
(681063 -6.31745e+06 -445324)
(722961 -6.27639e+06 -385282)
(764375 -6.20142e+06 -313762)
(817944 -6.08669e+06 -240063)
(893973 -5.95158e+06 -186505)
(964657 -5.82606e+06 -163883)
(1.05027e+06 -5.37267e+06 -208955)
(700577 -6.32138e+06 -442683)
(743249 -6.27606e+06 -379514)
(787941 -6.19537e+06 -303896)
(847036 -6.0733e+06 -228903)
(926615 -5.93493e+06 -179046)
(997748 -5.79319e+06 -161455)
(1.07666e+06 -5.31949e+06 -213630)
(588500 -6.24845e+06 -490080)
(620836 -6.19203e+06 -427561)
(646636 -6.10113e+06 -366775)
(673605 -5.97351e+06 -316823)
(714762 -5.80421e+06 -276704)
(756525 -5.65266e+06 -261867)
(822366 -5.23116e+06 -288743)
(612545 -6.24977e+06 -487115)
(645114 -6.18914e+06 -422307)
(672745 -6.09353e+06 -360481)
(703068 -5.9594e+06 -309932)
(748502 -5.78532e+06 -271296)
(792572 -5.62294e+06 -260398)
(851034 -5.18687e+06 -293092)
(624627 -6.25048e+06 -485582)
(657040 -6.18731e+06 -419796)
(685662 -6.08889e+06 -357418)
(718038 -5.95094e+06 -306653)
(766104 -5.7741e+06 -269307)
(810885 -5.60511e+06 -260850)
(868447 -5.16115e+06 -295763)
(641714 -6.2516e+06 -483210)
(674260 -6.18457e+06 -415964)
(704798 -6.08179e+06 -352709)
(740790 -5.93766e+06 -301806)
(792654 -5.75637e+06 -266612)
(837930 -5.5774e+06 -261831)
(892369 -5.12244e+06 -299849)
(567687 -6.21098e+06 -521809)
(600537 -6.1381e+06 -452580)
(627564 -6.02738e+06 -388938)
(653319 -5.87818e+06 -343252)
(679454 -5.6715e+06 -309008)
(705507 -5.47392e+06 -301735)
(733770 -5.07024e+06 -335568)
(591279 -6.2088e+06 -518396)
(624828 -6.13102e+06 -447168)
(653403 -6.015e+06 -383920)
(680770 -5.85848e+06 -339053)
(708871 -5.64382e+06 -306130)
(734856 -5.43866e+06 -302565)
(757675 -5.0351e+06 -340482)
(602955 -6.20778e+06 -516411)
(636491 -6.12726e+06 -444484)
(665817 -6.00827e+06 -381601)
(694057 -5.84758e+06 -337253)
(723560 -5.62859e+06 -305447)
(749598 -5.41968e+06 -304075)
(774005 -5.01009e+06 -343957)
(619493 -6.20646e+06 -513402)
(653418 -6.12175e+06 -440574)
(684175 -5.99813e+06 -378166)
(714159 -5.83066e+06 -334632)
(745767 -5.60481e+06 -304684)
(771762 -5.38957e+06 -306771)
(793481 -4.98024e+06 -348697)
(566086 -6.1884e+06 -580969)
(597696 -6.10583e+06 -508471)
(623650 -5.98362e+06 -445714)
(648031 -5.82249e+06 -402880)
(664170 -5.59982e+06 -371237)
(681592 -5.38679e+06 -361171)
(683338 -4.99366e+06 -375533)
(589774 -6.1823e+06 -579793)
(622405 -6.09405e+06 -505777)
(649972 -5.9659e+06 -444483)
(675382 -5.79704e+06 -403164)
(692009 -5.56542e+06 -372421)
(708486 -5.34547e+06 -364593)
(701645 -4.96354e+06 -379351)
(601047 -6.17919e+06 -578765)
(634002 -6.08786e+06 -504432)
(662320 -5.95648e+06 -444105)
(688183 -5.78337e+06 -403556)
(705533 -5.54695e+06 -373397)
(721920 -5.32414e+06 -366802)
(716702 -4.9378e+06 -382777)
(617389 -6.17447e+06 -577224)
(651078 -6.07832e+06 -502548)
(680780 -5.94176e+06 -443643)
(707648 -5.7616e+06 -404245)
(726051 -5.51745e+06 -375110)
(742007 -5.28966e+06 -370523)
(734266 -4.90899e+06 -386752)
(-267411 -5.80897e+06 220264)
(-421762 -5.80066e+06 55020.4)
(-460769 -5.82502e+06 -34093.6)
(-289772 -5.85186e+06 -76629.4)
(-165428 -5.92903e+06 -98326.6)
(59617.7 -5.98212e+06 -109047)
(225266 -6.03239e+06 -111765)
(-270665 -5.81138e+06 222359)
(-425322 -5.80027e+06 53472.6)
(-461071 -5.82457e+06 -36502.3)
(-284415 -5.84958e+06 -78500.8)
(-155385 -5.9275e+06 -100483)
(73208.1 -5.97933e+06 -111065)
(243344 -6.02982e+06 -113877)
(-273414 -5.81446e+06 224426)
(-428652 -5.80046e+06 52162.1)
(-461195 -5.82461e+06 -38636.6)
(-279678 -5.84831e+06 -79934.5)
(-145984 -5.92691e+06 -102059)
(86201.6 -5.97756e+06 -112527)
(260741 -6.02807e+06 -115491)
(-275591 -5.81749e+06 226926)
(-432875 -5.8017e+06 51934.2)
(-463230 -5.82532e+06 -39869.3)
(-277439 -5.84783e+06 -80753)
(-139370 -5.92755e+06 -102862)
(96813.1 -5.97753e+06 -113222)
(275484 -6.02737e+06 -116431)
(-220960 -5.78767e+06 458218)
(-316273 -5.73324e+06 153678)
(-336245 -5.77834e+06 -108277)
(-181065 -5.8126e+06 -220022)
(-72095 -5.93332e+06 -265798)
(107856 -6.05563e+06 -280478)
(237350 -6.15804e+06 -272836)
(-221765 -5.79145e+06 463751)
(-314872 -5.73223e+06 152316)
(-333409 -5.78022e+06 -114645)
(-172537 -5.81383e+06 -226571)
(-60669.8 -5.93494e+06 -271913)
(122732 -6.05698e+06 -286005)
(255093 -6.15997e+06 -278003)
(-221836 -5.79597e+06 469304)
(-313067 -5.73203e+06 151286)
(-331025 -5.78245e+06 -120295)
(-164619 -5.81622e+06 -232098)
(-49792.9 -5.93762e+06 -276833)
(136926 -6.05966e+06 -290302)
(272038 -6.16293e+06 -282080)
(-221606 -5.7993e+06 475096)
(-312368 -5.73225e+06 151218)
(-331091 -5.78447e+06 -124287)
(-159817 -5.81911e+06 -235914)
(-41847.9 -5.941e+06 -279941)
(148471 -6.0636e+06 -292833)
(286220 -6.16667e+06 -284568)
(-187114 -5.78081e+06 730200)
(-218898 -5.7012e+06 204469)
(-238737 -5.71032e+06 -175958)
(-94549.7 -5.71352e+06 -331105)
(-12291.3 -5.85142e+06 -390535)
(127602 -6.01798e+06 -405810)
(226065 -6.14908e+06 -391847)
(-188512 -5.78492e+06 735028)
(-211865 -5.70287e+06 200217)
(-231560 -5.71426e+06 -184496)
(-84110.8 -5.71793e+06 -340302)
(-114.033 -5.85775e+06 -399357)
(141647 -6.02458e+06 -413668)
(241716 -6.15542e+06 -399214)
(-189667 -5.78968e+06 739425)
(-205233 -5.70521e+06 195946)
(-224905 -5.71864e+06 -192419)
(-74261.3 -5.7235e+06 -348470)
(11597.7 -5.86516e+06 -407001)
(155042 -6.03251e+06 -420321)
